App,Category,RAM,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,Description
Adobe Premiere Pro,['Video'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,"Professional timeline-based video editing software for film, TV, and web."
Adobe Photoshop,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 4060 Ti,AMD RX 7700 XT,NVIDIA RTX 4060 Ti,37686,28423,5917,37,5917,Industry-standard raster graphics editor for photo editing and digital art.
DaVinci Resolve,['Video'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,Professional color correction and non-linear video editing software.
Blender,['3D'],64,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,"Free and open-source 3D creation suite for modeling, animation, and rendering."
Autodesk Maya,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,"Professional 3D computer graphics software for animation, modeling, and rendering."
CorelDRAW,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 3060,AMD RX 6700 XT,NVIDIA RTX 3060,37686,28423,11352,37,11352,"Vector graphics editor for illustration, layout, and design."
VEGAS Pro,['Video'],32,Intel Core i7-13700H,AMD Ryzen 7 7840HS,NVIDIA RTX 4060 Laptop,AMD RX 7700S,NVIDIA RTX 4060 Laptop,26456,28750,9744,6519,9744,Professional video editing software for creative production and live streaming.
Affinity Photo,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 4060,AMD RX 7600,NVIDIA RTX 4060,37686,28423,11352,6519,11352,Professional raster graphics editor for photo editing and design.
Final Cut Pro,['Video'],32,,,,,,0,0,0,0,0,Professional non-linear video editing software for macOS.
Lightroom Classic,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Photo editing and organization software for professional photographers.
Cinema 4D,['3D'],64,Intel Core i9-13900,AMD Ryzen 9 7900X,NVIDIA RTX 4080,AMD RX 7900 XT,NVIDIA RTX 4080,45924,51447,11352,37,11352,"3D modeling, animation, and rendering software for motion graphics."
Avid Media Composer,['Video'],64,Intel Core i7-13700HX,AMD Ryzen 9 7940HS,NVIDIA RTX 4070 Laptop,AMD RX 7700S,NVIDIA RTX 4070 Laptop,32855,30132,9744,6519,9744,Industry-standard video editing software for film and television production.
HitFilm Express,['Video'],32,Intel Core i7-13700H,AMD Ryzen 7 7840HS,NVIDIA RTX 4060 Laptop,AMD RX 7700S,NVIDIA RTX 4060 Laptop,26456,28750,9744,6519,9744,Video editing and visual effects software with compositing tools.
Capture One,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Professional photo editing software with RAW processing capabilities.
Krita,['Design'],32,Intel Core i5-13500H,AMD Ryzen 7 7735HS,NVIDIA RTX 4060 Laptop,AMD RX 7600S,NVIDIA RTX 4060 Laptop,21876,23295,9744,6519,9744,Free and open-source digital painting software for artists.
SketchUp,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,3D modeling software for architectural and interior design.
PaintTool SAI,['Design'],32,Intel Core i5-13600K,AMD Ryzen 5 7600X,NVIDIA RTX 3060,AMD RX 7600,NVIDIA RTX 3060,37686,28423,11352,6519,11352,Lightweight painting software for digital artists and illustrators.
Adobe Illustrator,['Design'],32,Intel Core i7-13700,AMD Ryzen 7 7700X,NVIDIA RTX 4070,AMD RX 7800 XT,NVIDIA RTX 4070,36551,35822,11352,37,11352,Industry-standard vector graphics editor for design and illustration.
