Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['Casual', 'Adventure', 'Simulation']",Every life becomes a story Create your unique story by controlling and observing the lives of Zois. Customize characters and build houses using inZOIs easy-to-use tools to live the life of your dreams and experience the different emotions of life created by its deep and detailed simulation.,12,60,Intel Core i5-10400,Ryzen 5 3600,NVIDIA GeForce RTX 2060,Radeon RX 5600 XT,NVIDIA GeForce RTX 2060,19102,17708,14116,13483,14116,inZOI
"['Action', 'RPG', 'Adventure']",Experience an epic action-adventure story set in feudal Japan! Become a lethal shinobi assassin and powerful legendary samurai as you explore a beautiful open world in a time of chaos.,16,100,Intel Core i7-8700K,Ryzen 5 3600,NVIDIA GeForce GTX 1070,Radeon RX 5700,NVIDIA GeForce GTX 1070,34465,17708,13498,14336,13498,Assassin's Creed Shadows
"['Action', 'Racing', 'Adventure']","Grand Theft Auto V: Enhanced Edition is an upgraded version of the classic open-world game, featuring improved graphics, faster loading times, and new content. Explore Los Santos with ray-traced lighting, enhanced textures, and smoother performance. Enjoy new vehicles, missions, and updates in both Story Mode and GTA Online. Whether youre revisiting or playing for the first time, this edition offers the most immersive GTA V experience yet.",8,105,Intel Core i7-4770,FX-9590,NVIDIA GeForce GTX 1630,Radeon RX 6400,NVIDIA GeForce GTX 1630,41711,6794,4978,7654,4978,Grand Theft Auto V
"['Action', 'Strategy', 'Indie']","From small-time dope pusher to kingpin - manufacture and distribute a range of drugs throughout the grungy city of Hyland Point. Expand your empire with properties, businesses, employees and more.",8,8,Intel Core i5-1300F,Intel Core i5-1300F,GeForce GTX 1060,AMD Radeon RX 580,GeForce GTX 1060,25081,25081,10081,8822,10081,Schedule I
"['Action', 'Early Access']","An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creators desires.",8,1,Intel Core i5-6600,Intel Core i5-6600,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,21435,21435,9642,9642,9642,R.E.P.O.
"['Action', 'Free to Play']","For over two decades, Counter-Strike has offered an elite competitive experience, one shaped by millions of players from across the globe. And now the next chapter in the CS story is about to begin. This is Counter-Strike 2.",8,85,Intel Core i5-750,Intel Core i5-750,NVIDIA GeForce 610M,NVIDIA GeForce 610M,NVIDIA GeForce 610M,1326,1326,291,291,291,CS2
"['Action', 'RPG', 'Adventure']","The unbridled force of nature runs wild and relentless, with environments transforming drastically from one moment to the next. This is a story of monsters and humans and their struggles to live in harmony in a world of duality.",16,75,Intel Core i5-10400,Ryzen 5 3600,NVIDIA GeForce GTX 1660,Radeon RX 5500 XT,NVIDIA GeForce GTX 1660,19102,17708,11659,9091,11659,Monster Hunter Wilds
"['Action', 'Strategy', 'Free to Play']","Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!",16,70,Intel Core i5-6600K,Ryzen 5 1600X,NVIDIA GeForce GTX 1060,Radeon RX 580,NVIDIA GeForce GTX 1060,27629,13036,10081,8822,10081,Marvel Rivals
"['Action', 'Free to Play']","Valorant is a team-based shooter where you fight through 13 intense rounds using sharp aim and special abilities. With one life per round, every move counts. Play in Competitive, Unranked, Deathmatch, or Spike Rush and outsmart your enemies to win.",4,30,Intel Core 2 Duo E8400,Athlon 200GE,Radeon R5 230,Radeon R5 230,Intel HD 4000,594,4089,221,221,345,Valorant
"['Action', 'RPG', 'FPS']","Cyberpunk 2077 is an open-world, action-adventure RPG set in the dark future of Night City a dangerous megalopolis obsessed with power, glamor, and ceaseless body modification.",12,70,Intel Core i7-6700,Ryzen 5 1600,NVIDIA GeForce GTX 1060,Radeon RX 580,NVIDIA GeForce GTX 1060,30444,12275,10081,8822,10081,Cyberpunk 2077
"['Action', 'Adventure']","Embrace mind-blowing moments as you re pulled deep into the many worlds of Split Fiction, a boundary-pushing co-op adventure.",12,40,Intel Core i5-10400,Ryzen 5 3600,NVIDIA GeForce RTX 2060,Radeon RX 5600 XT,NVIDIA GeForce RTX 2060,19102,17708,14116,13483,14116,Split Fiction
